Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581106668609	5,0627	-2,0356	-13,5678	1,0000	0,0000	0,0000	0,0000	5,0627	-1,0970	-14,5678	0,9298	0,3680	0,0000	0,0000	img_PilotCamera_Segmentation_1581106668508.jpg,img_FrontCenter_Segmentation_1581106668609.jpg
1581106668682	5,0638	-2,2294	-13,5675	0,9997	-0,0179	-0,0156	-0,0084	5,0731	-1,4198	-14,5674	0,9427	0,3337	-0,0044	0,0015	img_PilotCamera_Segmentation_1581106668672.jpg,img_FrontCenter_Segmentation_1581106668682.jpg
1581106668732	5,0637	-2,2813	-13,5675	0,9997	-0,0175	-0,0152	-0,0082	5,0728	-1,4198	-14,5674	0,9374	0,3481	-0,0042	0,0016	img_PilotCamera_Segmentation_1581106668722.jpg,img_FrontCenter_Segmentation_1581106668732.jpg
1581106668788	5,0637	-2,3292	-13,5675	0,9997	-0,0170	-0,0148	-0,0080	5,0725	-1,4198	-14,5674	0,9327	0,3607	-0,0041	0,0016	img_PilotCamera_Segmentation_1581106668778.jpg,img_FrontCenter_Segmentation_1581106668788.jpg
1581106668838	5,0637	-2,3956	-13,5675	0,9997	-0,0166	-0,0145	-0,0078	5,0723	-1,4198	-14,5674	0,9262	0,3770	-0,0040	0,0016	img_PilotCamera_Segmentation_1581106668830.jpg,img_FrontCenter_Segmentation_1581106668838.jpg
1581106668888	5,0637	-2,4565	-13,5675	0,9997	-0,0162	-0,0141	-0,0076	5,0721	-1,4198	-14,5675	0,9204	0,3910	-0,0039	0,0016	img_PilotCamera_Segmentation_1581106668880.jpg,img_FrontCenter_Segmentation_1581106668888.jpg
1581106668941	5,0636	-2,5390	-13,5675	0,9998	-0,0157	-0,0136	-0,0073	5,0718	-1,4198	-14,5675	0,9128	0,4085	-0,0037	0,0017	img_PilotCamera_Segmentation_1581106668932.jpg,img_FrontCenter_Segmentation_1581106668941.jpg
1581106668996	5,0636	-2,6237	-13,5675	0,9998	-0,0153	-0,0133	-0,0072	5,0715	-1,4198	-14,5675	0,9052	0,4249	-0,0036	0,0017	img_PilotCamera_Segmentation_1581106668986.jpg,img_FrontCenter_Segmentation_1581106668996.jpg
1581106669051	5,0636	-2,6997	-13,5675	0,9998	-0,0149	-0,0130	-0,0070	5,0713	-1,4198	-14,5675	0,8988	0,4384	-0,0035	0,0017	img_PilotCamera_Segmentation_1581106669042.jpg,img_FrontCenter_Segmentation_1581106669051.jpg
1581106669107	5,0636	-2,8058	-13,5675	0,9998	-0,0144	-0,0126	-0,0068	5,0710	-1,4198	-14,5675	0,8902	0,4555	-0,0033	0,0017	img_PilotCamera_Segmentation_1581106669099.jpg,img_FrontCenter_Segmentation_1581106669107.jpg
1581106669161	5,0635	-2,9024	-13,5675	0,9998	-0,0141	-0,0122	-0,0066	5,0708	-1,4198	-14,5675	0,8829	0,4695	-0,0032	0,0017	img_PilotCamera_Segmentation_1581106669152.jpg,img_FrontCenter_Segmentation_1581106669161.jpg
1581106669219	5,0635	-2,9982	-13,5675	0,9998	-0,0137	-0,0119	-0,0064	5,0706	-1,4198	-14,5675	0,8761	0,4821	-0,0031	0,0017	img_PilotCamera_Segmentation_1581106669210.jpg,img_FrontCenter_Segmentation_1581106669219.jpg
1581106669273	5,0635	-3,1126	-13,5675	0,9998	-0,0133	-0,0115	-0,0062	5,0704	-1,4198	-14,5675	0,8685	0,4957	-0,0030	0,0017	img_PilotCamera_Segmentation_1581106669265.jpg,img_FrontCenter_Segmentation_1581106669273.jpg
1581106669325	5,0635	-3,2096	-13,5676	0,9998	-0,0129	-0,0113	-0,0061	5,0702	-1,4198	-14,5675	0,8625	0,5061	-0,0029	0,0017	img_PilotCamera_Segmentation_1581106669317.jpg,img_FrontCenter_Segmentation_1581106669325.jpg
1581106669377	5,0635	-3,2956	-13,5676	0,9998	-0,0126	-0,0110	-0,0059	5,0700	-1,4198	-14,5675	0,8574	0,5146	-0,0028	0,0017	img_PilotCamera_Segmentation_1581106669369.jpg,img_FrontCenter_Segmentation_1581106669377.jpg
1581106669431	5,0634	-3,3671	-13,5676	0,9999	-0,0123	-0,0107	-0,0058	5,0698	-1,4198	-14,5675	0,8535	0,5211	-0,0027	0,0017	img_PilotCamera_Segmentation_1581106669424.jpg,img_FrontCenter_Segmentation_1581106669431.jpg
1581106669485	5,0634	-3,4475	-13,5676	0,9999	-0,0120	-0,0104	-0,0056	5,0696	-1,4198	-14,5676	0,8492	0,5281	-0,0026	0,0016	img_PilotCamera_Segmentation_1581106669476.jpg,img_FrontCenter_Segmentation_1581106669485.jpg
1581106669540	5,0641	-3,4981	-13,5674	0,9999	-0,0116	-0,0101	-0,0054	5,0701	-1,4198	-14,5673	0,8466	0,5322	-0,0025	0,0016	img_PilotCamera_Segmentation_1581106669532.jpg,img_FrontCenter_Segmentation_1581106669540.jpg
1581106669593	5,0641	-3,4960	-13,5674	0,9999	-0,0113	-0,0098	-0,0053	5,0700	-1,4198	-14,5673	0,8467	0,5320	-0,0025	0,0016	img_PilotCamera_Segmentation_1581106669584.jpg,img_FrontCenter_Segmentation_1581106669593.jpg
1581106669646	5,0641	-3,4885	-13,5674	0,9999	-0,0110	-0,0096	-0,0052	5,0698	-1,4198	-14,5673	0,8471	0,5314	-0,0024	0,0015	img_PilotCamera_Segmentation_1581106669639.jpg,img_FrontCenter_Segmentation_1581106669646.jpg
1581106669701	5,0641	-3,4788	-13,5674	0,9999	-0,0107	-0,0094	-0,0050	5,0696	-1,4198	-14,5674	0,8476	0,5306	-0,0024	0,0015	img_PilotCamera_Segmentation_1581106669693.jpg,img_FrontCenter_Segmentation_1581106669701.jpg
1581106669754	5,0640	-3,4636	-13,5674	0,9999	-0,0105	-0,0091	-0,0049	5,0695	-1,4198	-14,5674	0,8484	0,5294	-0,0023	0,0014	img_PilotCamera_Segmentation_1581106669745.jpg,img_FrontCenter_Segmentation_1581106669754.jpg
1581106669806	5,0640	-3,4466	-13,5674	0,9999	-0,0102	-0,0089	-0,0048	5,0693	-1,4198	-14,5674	0,8493	0,5280	-0,0023	0,0014	img_PilotCamera_Segmentation_1581106669798.jpg,img_FrontCenter_Segmentation_1581106669806.jpg
1581106669859	5,0640	-3,4140	-13,5674	0,9999	-0,0099	-0,0086	-0,0046	5,0691	-1,4198	-14,5674	0,8510	0,5252	-0,0022	0,0013	img_PilotCamera_Segmentation_1581106669850.jpg,img_FrontCenter_Segmentation_1581106669859.jpg
1581106669912	5,0640	-3,3831	-13,5674	0,9999	-0,0096	-0,0084	-0,0045	5,0690	-1,4198	-14,5674	0,8526	0,5226	-0,0021	0,0013	img_PilotCamera_Segmentation_1581106669901.jpg,img_FrontCenter_Segmentation_1581106669912.jpg
1581106669966	5,0640	-3,3495	-13,5674	0,9999	-0,0094	-0,0082	-0,0044	5,0689	-1,4198	-14,5674	0,8544	0,5196	-0,0021	0,0013	img_PilotCamera_Segmentation_1581106669955.jpg,img_FrontCenter_Segmentation_1581106669966.jpg
1581106670021	5,0640	-3,3141	-13,5674	0,9999	-0,0092	-0,0080	-0,0043	5,0687	-1,4198	-14,5674	0,8564	0,5163	-0,0020	0,0012	img_PilotCamera_Segmentation_1581106670011.jpg,img_FrontCenter_Segmentation_1581106670021.jpg
1581106670075	5,0639	-3,2749	-13,5674	0,9999	-0,0089	-0,0078	-0,0042	5,0686	-1,4198	-14,5674	0,8586	0,5126	-0,0020	0,0012	img_PilotCamera_Segmentation_1581106670064.jpg,img_FrontCenter_Segmentation_1581106670075.jpg
1581106670130	5,0639	-3,2124	-13,5674	0,9999	-0,0086	-0,0077	-0,0040	5,0685	-1,4198	-14,5674	0,8623	0,5064	-0,0020	0,0012	img_PilotCamera_Segmentation_1581106670122.jpg,img_FrontCenter_Segmentation_1581106670130.jpg
1581106670184	5,0639	-3,1612	-13,5674	0,9999	-0,0084	-0,0095	-0,0039	5,0696	-1,4198	-14,5674	0,8654	0,5010	-0,0025	0,0014	img_PilotCamera_Segmentation_1581106670174.jpg,img_FrontCenter_Segmentation_1581106670184.jpg
1581106670238	5,0639	-3,1162	-13,5674	0,9999	-0,0082	-0,0131	-0,0038	5,0718	-1,4198	-14,5674	0,8683	0,4961	-0,0034	0,0019	img_PilotCamera_Segmentation_1581106670230.jpg,img_FrontCenter_Segmentation_1581106670238.jpg
1581106670290	5,0639	-3,0686	-13,5674	0,9998	-0,0081	-0,0189	-0,0037	5,0752	-1,4198	-14,5674	0,8714	0,4906	-0,0049	0,0028	img_PilotCamera_Segmentation_1581106670281.jpg,img_FrontCenter_Segmentation_1581106670290.jpg
1581106670348	5,0639	-3,0130	-13,5674	0,9996	-0,0078	-0,0283	-0,0035	5,0808	-1,4198	-14,5673	0,8751	0,4839	-0,0074	0,0041	img_PilotCamera_Segmentation_1581106670341.jpg,img_FrontCenter_Segmentation_1581106670348.jpg
1581106670398	5,0639	-2,9657	-13,5674	0,9992	-0,0077	-0,0383	-0,0033	5,0868	-1,4198	-14,5672	0,8783	0,4779	-0,0101	0,0055	img_PilotCamera_Segmentation_1581106670390.jpg,img_FrontCenter_Segmentation_1581106670398.jpg
1581106670451	5,0638	-2,9186	-13,5674	0,9987	-0,0075	-0,0505	-0,0031	5,0941	-1,4198	-14,5670	0,8817	0,4716	-0,0134	0,0071	img_PilotCamera_Segmentation_1581106670442.jpg,img_FrontCenter_Segmentation_1581106670451.jpg
1581106670505	5,0638	-2,8701	-13,5674	0,9978	-0,0074	-0,0661	-0,0029	5,1035	-1,4198	-14,5667	0,8852	0,4649	-0,0176	0,0092	img_PilotCamera_Segmentation_1581106670496.jpg,img_FrontCenter_Segmentation_1581106670505.jpg
1581106670561	5,0638	-2,8310	-13,5674	0,9967	-0,0072	-0,0811	-0,0027	5,1125	-1,4198	-14,5663	0,8880	0,4591	-0,0216	0,0112	img_PilotCamera_Segmentation_1581106670550.jpg,img_FrontCenter_Segmentation_1581106670561.jpg
1581106670619	5,0638	-2,7715	-13,5674	0,9941	-0,0071	-0,1085	-0,0025	5,1290	-1,4198	-14,5653	0,8925	0,4499	-0,0291	0,0147	img_PilotCamera_Segmentation_1581106670608.jpg,img_FrontCenter_Segmentation_1581106670619.jpg
1581106670672	5,0638	-2,7345	-13,5675	0,9916	-0,0069	-0,1289	-0,0023	5,1413	-1,4198	-14,5644	0,8953	0,4438	-0,0347	0,0172	img_PilotCamera_Segmentation_1581106670663.jpg,img_FrontCenter_Segmentation_1581106670672.jpg
1581106670725	5,0638	-2,6996	-13,5675	0,9886	-0,0068	-0,1506	-0,0021	5,1544	-1,4198	-14,5633	0,8979	0,4379	-0,0408	0,0199	img_PilotCamera_Segmentation_1581106670716.jpg,img_FrontCenter_Segmentation_1581106670725.jpg
1581106670779	5,0638	-2,6619	-13,5675	0,9847	-0,0067	-0,1743	-0,0018	5,1687	-1,4198	-14,5619	0,9007	0,4312	-0,0474	0,0227	img_PilotCamera_Segmentation_1581106670769.jpg,img_FrontCenter_Segmentation_1581106670779.jpg
1581106670836	5,0638	-2,6095	-13,5675	0,9790	-0,0065	-0,2040	-0,0016	5,1867	-1,4198	-14,5599	0,9048	0,4214	-0,0558	0,0260	img_PilotCamera_Segmentation_1581106670825.jpg,img_FrontCenter_Segmentation_1581106670836.jpg
1581106670885	5,0638	-2,5696	-13,5675	0,9745	-0,0064	-0,2241	-0,0014	5,1990	-1,4198	-14,5583	0,9079	0,4136	-0,0617	0,0281	img_PilotCamera_Segmentation_1581106670875.jpg,img_FrontCenter_Segmentation_1581106670885.jpg
1581106670935	5,0638	-2,5312	-13,5675	0,9703	-0,0063	-0,2417	-0,0013	5,2097	-1,4198	-14,5568	0,9110	0,4058	-0,0668	0,0298	img_PilotCamera_Segmentation_1581106670926.jpg,img_FrontCenter_Segmentation_1581106670935.jpg
1581106670988	5,0637	-2,4917	-13,5675	0,9657	-0,0061	-0,2595	-0,0011	5,2206	-1,4198	-14,5551	0,9143	0,3974	-0,0721	0,0314	img_PilotCamera_Segmentation_1581106670979.jpg,img_FrontCenter_Segmentation_1581106670988.jpg
1581106671046	5,0637	-2,4463	-13,5675	0,9598	-0,0066	-0,2807	0,0010	5,2337	-1,4198	-14,5529	0,9180	0,3873	-0,0786	0,0331	img_PilotCamera_Segmentation_1581106671032.jpg,img_FrontCenter_Segmentation_1581106671046.jpg
1581106671096	5,0637	-2,4024	-13,5675	0,9533	-0,0083	-0,3019	0,0072	5,2467	-1,4198	-14,5506	0,9216	0,3770	-0,0851	0,0348	img_PilotCamera_Segmentation_1581106671083.jpg,img_FrontCenter_Segmentation_1581106671096.jpg
1581106671146	5,0636	-2,3627	-13,5676	0,9468	-0,0100	-0,3215	0,0130	5,2588	-1,4198	-14,5483	0,9249	0,3673	-0,0911	0,0362	img_PilotCamera_Segmentation_1581106671136.jpg,img_FrontCenter_Segmentation_1581106671146.jpg
1581106671194	5,0633	-2,3164	-13,5678	0,9388	-0,0110	-0,3440	0,0169	5,2725	-1,4198	-14,5456	0,9288	0,3554	-0,0982	0,0376	img_PilotCamera_Segmentation_1581106671184.jpg,img_FrontCenter_Segmentation_1581106671194.jpg
1581106671251	5,0626	-2,2548	-13,5682	0,9283	-0,0090	-0,3714	0,0134	5,2890	-1,4198	-14,5423	0,9340	0,3386	-0,1071	0,0388	img_PilotCamera_Segmentation_1581106671241.jpg,img_FrontCenter_Segmentation_1581106671251.jpg
1581106671307	5,0621	-2,2140	-13,5686	0,9215	-0,0081	-0,3882	0,0117	5,2991	-1,4198	-14,5401	0,9375	0,3270	-0,1127	0,0393	img_PilotCamera_Segmentation_1581106671298.jpg,img_FrontCenter_Segmentation_1581106671307.jpg
1581106671360	5,0613	-2,1709	-13,5691	0,9141	-0,0073	-0,4053	0,0098	5,3091	-1,4198	-14,5380	0,9412	0,3141	-0,1185	0,0395	img_PilotCamera_Segmentation_1581106671348.jpg,img_FrontCenter_Segmentation_1581106671360.jpg
1581106671415	5,0605	-2,1267	-13,5698	0,9065	-0,0077	-0,4221	0,0108	5,3190	-1,4198	-14,5358	0,9449	0,3002	-0,1243	0,0395	img_PilotCamera_Segmentation_1581106671407.jpg,img_FrontCenter_Segmentation_1581106671415.jpg
1581106671470	5,0595	-2,0861	-13,5705	0,8988	-0,0205	-0,4363	0,0371	5,3274	-1,4198	-14,5339	0,9483	0,2870	-0,1294	0,0392	img_PilotCamera_Segmentation_1581106671461.jpg,img_FrontCenter_Segmentation_1581106671470.jpg
1581106671528	5,0583	-2,0507	-13,5715	0,8916	-0,0341	-0,4469	0,0647	5,3335	-1,4198	-14,5329	0,9513	0,2750	-0,1335	0,0386	img_PilotCamera_Segmentation_1581106671517.jpg,img_FrontCenter_Segmentation_1581106671528.jpg
1581106671586	5,0557	-2,0020	-13,5741	0,8816	-0,0505	-0,4590	0,0978	5,3397	-1,4198	-14,5329	0,9555	0,2579	-0,1385	0,0374	img_PilotCamera_Segmentation_1581106671574.jpg,img_FrontCenter_Segmentation_1581106671586.jpg
1581106671636	5,0525	-1,9596	-13,5776	0,8747	-0,0521	-0,4709	0,1024	5,3443	-1,4198	-14,5341	0,9589	0,2423	-0,1430	0,0361	img_PilotCamera_Segmentation_1581106671626.jpg,img_FrontCenter_Segmentation_1581106671636.jpg
1581106671690	5,0491	-1,9251	-13,5814	0,8700	-0,0442	-0,4827	0,0897	5,3481	-1,4198	-14,5357	0,9616	0,2291	-0,1471	0,0351	img_PilotCamera_Segmentation_1581106671680.jpg,img_FrontCenter_Segmentation_1581106671690.jpg
1581106671745	5,0443	-1,8840	-13,5870	0,8632	-0,0338	-0,4984	0,0725	5,3530	-1,4198	-14,5382	0,9645	0,2129	-0,1526	0,0337	img_PilotCamera_Segmentation_1581106671732.jpg,img_FrontCenter_Segmentation_1581106671745.jpg
1581106671796	5,0393	-1,8464	-13,5929	0,8553	-0,0222	-0,5149	0,0530	5,3584	-1,4198	-14,5406	0,9669	0,1976	-0,1584	0,0324	img_PilotCamera_Segmentation_1581106671783.jpg,img_FrontCenter_Segmentation_1581106671796.jpg
1581106671852	5,0325	-1,8018	-13,6009	0,8438	-0,0171	-0,5347	0,0432	5,3648	-1,4198	-14,5441	0,9693	0,1788	-0,1657	0,0306	img_PilotCamera_Segmentation_1581106671842.jpg,img_FrontCenter_Segmentation_1581106671852.jpg
1581106671904	5,0268	-1,7684	-13,6076	0,8350	-0,0141	-0,5489	0,0367	5,3685	-1,4198	-14,5474	0,9710	0,1644	-0,1710	0,0290	img_PilotCamera_Segmentation_1581106671892.jpg,img_FrontCenter_Segmentation_1581106671904.jpg
1581106671959	5,0212	-1,7396	-13,6141	0,8273	-0,0119	-0,5608	0,0316	5,3710	-1,4198	-14,5510	0,9723	0,1517	-0,1756	0,0274	img_PilotCamera_Segmentation_1581106671945.jpg,img_FrontCenter_Segmentation_1581106671959.jpg
1581106672009	5,0152	-1,7119	-13,6212	0,8196	-0,0101	-0,5722	0,0269	5,3727	-1,4198	-14,5551	0,9734	0,1392	-0,1799	0,0257	img_PilotCamera_Segmentation_1581106671999.jpg,img_FrontCenter_Segmentation_1581106672009.jpg
1581106672062	5,0093	-1,6861	-13,6281	0,8129	-0,0051	-0,5821	0,0180	5,3736	-1,4198	-14,5594	0,9744	0,1275	-0,1838	0,0240	img_PilotCamera_Segmentation_1581106672054.jpg,img_FrontCenter_Segmentation_1581106672062.jpg
1581106672120	5,0006	-1,6491	-13,6382	0,8035	0,0301	-0,5945	-0,0086	5,3739	-1,4198	-14,5659	0,9755	0,1104	-0,1889	0,0214	img_PilotCamera_Segmentation_1581106672108.jpg,img_FrontCenter_Segmentation_1581106672120.jpg
1581106672168	4,9940	-1,6228	-13,6453	0,7960	0,0711	-0,6008	-0,0184	5,3738	-1,4198	-14,5703	0,9762	0,0980	-0,1926	0,0193	img_PilotCamera_Segmentation_1581106672159.jpg,img_FrontCenter_Segmentation_1581106672168.jpg
1581106672223	4,9875	-1,5990	-13,6513	0,7887	0,1124	-0,6039	-0,0247	5,3733	-1,4198	-14,5739	0,9766	0,0868	-0,1960	0,0174	img_PilotCamera_Segmentation_1581106672214.jpg,img_FrontCenter_Segmentation_1581106672223.jpg
1581106672279	4,9797	-1,5733	-13,6568	0,7804	0,1585	-0,6041	-0,0301	5,3720	-1,4198	-14,5766	0,9769	0,0745	-0,1997	0,0152	img_PilotCamera_Segmentation_1581106672267.jpg,img_FrontCenter_Segmentation_1581106672279.jpg
1581106672333	4,9689	-1,5439	-13,6612	0,7740	0,1916	-0,6017	-0,0463	5,3658	-1,4198	-14,5790	0,9774	0,0604	-0,2023	0,0125	img_PilotCamera_Segmentation_1581106672325.jpg,img_FrontCenter_Segmentation_1581106672333.jpg
1581106672387	4,9593	-1,5212	-13,6618	0,7748	0,1886	-0,5991	-0,0719	5,3543	-1,4198	-14,5805	0,9782	0,0495	-0,2014	0,0102	img_PilotCamera_Segmentation_1581106672376.jpg,img_FrontCenter_Segmentation_1581106672387.jpg
1581106672444	4,9495	-1,4993	-13,6597	0,7771	0,1704	-0,6011	-0,0762	5,3424	-1,4198	-14,5792	0,9789	0,0388	-0,2004	0,0079	img_PilotCamera_Segmentation_1581106672432.jpg,img_FrontCenter_Segmentation_1581106672444.jpg
1581106672500	4,9361	-1,4748	-13,6553	0,7804	0,1357	-0,6075	-0,0595	5,3277	-1,4198	-14,5754	0,9795	0,0269	-0,1998	0,0055	img_PilotCamera_Segmentation_1581106672490.jpg,img_FrontCenter_Segmentation_1581106672500.jpg
1581106672554	4,9239	-1,4596	-13,6508	0,7819	0,1120	-0,6112	-0,0498	5,3150	-1,4198	-14,5711	0,9797	0,0195	-0,1995	0,0040	img_PilotCamera_Segmentation_1581106672545.jpg,img_FrontCenter_Segmentation_1581106672554.jpg
1581106672612	4,9142	-1,4527	-13,6471	0,7826	0,0959	-0,6136	-0,0429	5,3052	-1,4198	-14,5675	0,9798	0,0161	-0,1995	0,0033	img_PilotCamera_Segmentation_1581106672597.jpg,img_FrontCenter_Segmentation_1581106672612.jpg
1581106672661	4,9032	-1,4502	-13,6428	0,7830	0,0804	-0,6158	-0,0363	5,2943	-1,4198	-14,5632	0,9798	0,0149	-0,1995	0,0030	img_PilotCamera_Segmentation_1581106672649.jpg,img_FrontCenter_Segmentation_1581106672661.jpg
1581106672715	4,8928	-1,4530	-13,6387	0,7831	0,0681	-0,6174	-0,0310	5,2841	-1,4198	-14,5590	0,9797	0,0163	-0,1996	0,0033	img_PilotCamera_Segmentation_1581106672701.jpg,img_FrontCenter_Segmentation_1581106672715.jpg
1581106672763	4,8805	-1,4629	-13,6336	0,7830	0,0558	-0,6190	-0,0257	5,2720	-1,4198	-14,5538	0,9796	0,0211	-0,1998	0,0043	img_PilotCamera_Segmentation_1581106672754.jpg,img_FrontCenter_Segmentation_1581106672763.jpg
1581106672820	4,8668	-1,4820	-13,6279	0,7827	0,0447	-0,6204	-0,0208	5,2588	-1,4198	-14,5479	0,9793	0,0304	-0,1999	0,0062	img_PilotCamera_Segmentation_1581106672810.jpg,img_FrontCenter_Segmentation_1581106672820.jpg
1581106672876	4,8564	-1,5024	-13,6234	0,7824	0,0378	-0,6213	-0,0178	5,2486	-1,4198	-14,5433	0,9789	0,0403	-0,2000	0,0082	img_PilotCamera_Segmentation_1581106672865.jpg,img_FrontCenter_Segmentation_1581106672876.jpg
1581106672930	4,8439	-1,5322	-13,6180	0,7821	0,0308	-0,6222	-0,0147	5,2366	-1,4198	-14,5377	0,9782	0,0548	-0,2001	0,0112	img_PilotCamera_Segmentation_1581106672922.jpg,img_FrontCenter_Segmentation_1581106672930.jpg
1581106672979	4,8340	-1,5552	-13,6133	0,7819	0,0204	-0,6231	-0,0053	5,2270	-1,4198	-14,5329	0,9775	0,0659	-0,2001	0,0135	img_PilotCamera_Segmentation_1581106672973.jpg,img_FrontCenter_Segmentation_1581106672979.jpg
1581106673036	4,8185	-1,5864	-13,6056	0,7811	0,0065	-0,6240	0,0231	5,2119	-1,4198	-14,5250	0,9763	0,0808	-0,2001	0,0166	img_PilotCamera_Segmentation_1581106673027.jpg,img_FrontCenter_Segmentation_1581106673036.jpg
1581106673094	4,8067	-1,6086	-13,5999	0,7801	0,0180	-0,6228	0,0563	5,1992	-1,4198	-14,5197	0,9755	0,0913	-0,1994	0,0187	img_PilotCamera_Segmentation_1581106673081.jpg,img_FrontCenter_Segmentation_1581106673094.jpg
1581106673149	4,7951	-1,6299	-13,5947	0,7796	0,0322	-0,6194	0,0870	5,1850	-1,4198	-14,5156	0,9748	0,1013	-0,1979	0,0206	img_PilotCamera_Segmentation_1581106673135.jpg,img_FrontCenter_Segmentation_1581106673149.jpg
1581106673203	4,7772	-1,6590	-13,5882	0,7793	0,0545	-0,6119	0,1236	5,1618	-1,4198	-14,5113	0,9738	0,1148	-0,1947	0,0230	img_PilotCamera_Segmentation_1581106673195.jpg,img_FrontCenter_Segmentation_1581106673203.jpg
1581106673261	4,7610	-1,6795	-13,5837	0,7795	0,0735	-0,6058	0,1413	5,1416	-1,4198	-14,5085	0,9731	0,1243	-0,1924	0,0246	img_PilotCamera_Segmentation_1581106673248.jpg,img_FrontCenter_Segmentation_1581106673261.jpg
1581106673311	4,7437	-1,6981	-13,5798	0,7818	0,0816	-0,6020	0,1404	5,1220	-1,4198	-14,5055	0,9722	0,1327	-0,1910	0,0261	img_PilotCamera_Segmentation_1581106673304.jpg,img_FrontCenter_Segmentation_1581106673311.jpg
1581106673366	4,7231	-1,7174	-13,5760	0,7865	0,0708	-0,6015	0,1204	5,1010	-1,4198	-14,5019	0,9710	0,1414	-0,1905	0,0277	img_PilotCamera_Segmentation_1581106673350.jpg,img_FrontCenter_Segmentation_1581106673366.jpg
1581106673418	4,7013	-1,7332	-13,5727	0,7903	0,0588	-0,6013	0,1018	5,0789	-1,4198	-14,4986	0,9700	0,1484	-0,1902	0,0291	img_PilotCamera_Segmentation_1581106673405.jpg,img_FrontCenter_Segmentation_1581106673418.jpg
1581106673475	4,6666	-1,7513	-13,5682	0,7944	0,0459	-0,6002	0,0808	5,0434	-1,4198	-14,4945	0,9689	0,1564	-0,1895	0,0306	img_PilotCamera_Segmentation_1581106673459.jpg,img_FrontCenter_Segmentation_1581106673475.jpg
1581106673519	4,6404	-1,7602	-13,5654	0,7966	0,0386	-0,5993	0,0688	5,0165	-1,4198	-14,4919	0,9683	0,1603	-0,1890	0,0313	img_PilotCamera_Segmentation_1581106673509.jpg,img_FrontCenter_Segmentation_1581106673519.jpg
1581106673580	4,6092	-1,7666	-13,5623	0,7986	0,0317	-0,5982	0,0574	4,9846	-1,4198	-14,4892	0,9679	0,1630	-0,1885	0,0318	img_PilotCamera_Segmentation_1581106673564.jpg,img_FrontCenter_Segmentation_1581106673580.jpg
1581106673627	4,5821	-1,7687	-13,5599	0,8001	0,0269	-0,5973	0,0494	4,9568	-1,4198	-14,4871	0,9678	0,1640	-0,1882	0,0319	img_PilotCamera_Segmentation_1581106673614.jpg,img_FrontCenter_Segmentation_1581106673627.jpg
1581106673685	4,5484	-1,7674	-13,5572	0,8015	0,0220	-0,5962	0,0413	4,9223	-1,4198	-14,4847	0,9680	0,1634	-0,1878	0,0317	img_PilotCamera_Segmentation_1581106673666.jpg,img_FrontCenter_Segmentation_1581106673685.jpg
1581106673735	4,5155	-1,7623	-13,5547	0,8027	0,0182	-0,5952	0,0348	4,8887	-1,4198	-14,4825	0,9684	0,1612	-0,1875	0,0312	img_PilotCamera_Segmentation_1581106673719.jpg,img_FrontCenter_Segmentation_1581106673735.jpg
1581106673784	4,4838	-1,7539	-13,5525	0,8036	0,0152	-0,5942	0,0297	4,8564	-1,4198	-14,4805	0,9691	0,1576	-0,1873	0,0305	img_PilotCamera_Segmentation_1581106673768.jpg,img_FrontCenter_Segmentation_1581106673784.jpg
1581106673841	4,4393	-1,7367	-13,5496	0,8047	0,0118	-0,5931	0,0238	4,8111	-1,4198	-14,4779	0,9704	0,1501	-0,1871	0,0289	img_PilotCamera_Segmentation_1581106673827.jpg,img_FrontCenter_Segmentation_1581106673841.jpg
1581106673887	4,4043	-1,7195	-13,5473	0,8054	0,0097	-0,5923	0,0201	4,7755	-1,4198	-14,4759	0,9716	0,1425	-0,1870	0,0274	img_PilotCamera_Segmentation_1581106673879.jpg,img_FrontCenter_Segmentation_1581106673887.jpg
1581106673948	4,3711	-1,7059	-13,5453	0,8061	0,0081	-0,5915	0,0171	4,7418	-1,4198	-14,4740	0,9725	0,1364	-0,1869	0,0262	img_PilotCamera_Segmentation_1581106673931.jpg,img_FrontCenter_Segmentation_1581106673948.jpg
1581106673994	4,3318	-1,6962	-13,5429	0,8067	0,0064	-0,5907	0,0142	4,7019	-1,4198	-14,4718	0,9732	0,1320	-0,1867	0,0253	img_PilotCamera_Segmentation_1581106673981.jpg,img_FrontCenter_Segmentation_1581106673994.jpg
1581106674050	4,3007	-1,6935	-13,5409	0,8072	0,0053	-0,5902	0,0122	4,6705	-1,4198	-14,4701	0,9734	0,1308	-0,1866	0,0251	img_PilotCamera_Segmentation_1581106674032.jpg,img_FrontCenter_Segmentation_1581106674050.jpg
1581106674097	4,2675	-1,6955	-13,5389	0,8076	0,0043	-0,5896	0,0104	4,6369	-1,4198	-14,4682	0,9733	0,1317	-0,1863	0,0252	img_PilotCamera_Segmentation_1581106674086.jpg,img_FrontCenter_Segmentation_1581106674097.jpg
1581106674151	4,2344	-1,7025	-13,5369	0,8080	0,0035	-0,5891	0,0089	4,6034	-1,4198	-14,4663	0,9729	0,1348	-0,1861	0,0258	img_PilotCamera_Segmentation_1581106674137.jpg,img_FrontCenter_Segmentation_1581106674151.jpg
