Timestamp	Position(x)	Position(y)	Position(z)	Orientation(w)	Orientation(x)	Orientation(y)	Orientation(z)	Pilot(x)	Pilot(y)	Pilot(z)	PilotRot(w)	PilotRot(x)	PilotRot(y)	PilotRot(z)	ImageName
1581449515307	-0,7199	1,0487	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-1,0970	-3,9147	0,8433	-0,5374	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515204.jpg,img_FrontCenter_Segmentation_1581449515307.jpg
1581449515460	-0,7199	0,8888	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8955	-3,9147	0,8628	-0,5055	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515444.jpg,img_FrontCenter_Segmentation_1581449515460.jpg
1581449515480	-0,7199	0,8412	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8946	-3,9147	0,8658	-0,5004	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515472.jpg,img_FrontCenter_Segmentation_1581449515480.jpg
1581449515540	-0,7199	0,7384	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8943	-3,9147	0,8724	-0,4887	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515524.jpg,img_FrontCenter_Segmentation_1581449515540.jpg
1581449515590	-0,7199	0,6589	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8940	-3,9147	0,8779	-0,4788	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515574.jpg,img_FrontCenter_Segmentation_1581449515590.jpg
1581449515644	-0,7199	0,5833	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8940	-3,9147	0,8833	-0,4688	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515630.jpg,img_FrontCenter_Segmentation_1581449515644.jpg
1581449515692	-0,7199	0,5237	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8940	-3,9147	0,8878	-0,4602	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515678.jpg,img_FrontCenter_Segmentation_1581449515692.jpg
1581449515745	-0,7199	0,4467	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8940	-3,9147	0,8938	-0,4484	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515731.jpg,img_FrontCenter_Segmentation_1581449515745.jpg
1581449515800	-0,7199	0,3650	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8940	-3,9147	0,9005	-0,4348	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515786.jpg,img_FrontCenter_Segmentation_1581449515800.jpg
1581449515851	-0,7199	0,2785	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8938	-3,9147	0,9080	-0,4189	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515838.jpg,img_FrontCenter_Segmentation_1581449515851.jpg
1581449515907	-0,7199	0,1597	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8936	-3,9147	0,9188	-0,3946	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515894.jpg,img_FrontCenter_Segmentation_1581449515907.jpg
1581449515956	-0,7199	0,0628	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8936	-3,9147	0,9281	-0,3724	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515943.jpg,img_FrontCenter_Segmentation_1581449515956.jpg
1581449516004	-0,7199	-0,0384	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8936	-3,9147	0,9381	-0,3464	0,0000	0,0000	img_PilotCamera_Segmentation_1581449515993.jpg,img_FrontCenter_Segmentation_1581449516004.jpg
1581449516059	-0,7199	-0,1376	-2,9147	1,0000	0,0000	0,0000	0,0000	-0,7199	-0,8936	-3,9147	0,9481	-0,3180	0,0000	0,0000	img_PilotCamera_Segmentation_1581449516046.jpg,img_FrontCenter_Segmentation_1581449516059.jpg
1581449516111	-0,7203	-0,1852	-2,9122	1,0000	-0,0001	-0,0011	0,0007	-0,7197	-0,8936	-3,9122	0,9529	-0,3033	-0,0003	-0,0001	img_PilotCamera_Segmentation_1581449516097.jpg,img_FrontCenter_Segmentation_1581449516111.jpg
1581449516161	-0,7210	-0,2080	-2,9012	1,0000	0,0000	-0,0018	0,0010	-0,7200	-0,8936	-3,9012	0,9552	-0,2960	-0,0005	-0,0002	img_PilotCamera_Segmentation_1581449516148.jpg,img_FrontCenter_Segmentation_1581449516161.jpg
1581449516213	-0,7220	-0,2986	-2,8765	1,0000	0,0001	-0,0026	0,0009	-0,7204	-0,8936	-3,8765	0,9642	-0,2652	-0,0008	-0,0002	img_PilotCamera_Segmentation_1581449516203.jpg,img_FrontCenter_Segmentation_1581449516213.jpg
1581449516260	-0,7225	-0,3136	-2,8720	1,0000	-0,0035	-0,0023	0,0003	-0,7211	-0,8936	-3,8720	0,9657	-0,2598	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516251.jpg,img_FrontCenter_Segmentation_1581449516260.jpg
1581449516315	-0,7225	-0,3136	-2,8720	1,0000	-0,0034	-0,0023	0,0003	-0,7211	-0,8936	-3,8720	0,9657	-0,2598	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516308.jpg,img_FrontCenter_Segmentation_1581449516315.jpg
1581449516374	-0,7225	-0,3136	-2,8720	1,0000	-0,0033	-0,0023	0,0003	-0,7211	-0,8936	-3,8720	0,9657	-0,2598	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516361.jpg,img_FrontCenter_Segmentation_1581449516374.jpg
1581449516427	-0,7225	-0,3132	-2,8720	1,0000	-0,0032	-0,0023	0,0003	-0,7211	-0,8925	-3,8720	0,9657	-0,2595	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516417.jpg,img_FrontCenter_Segmentation_1581449516427.jpg
1581449516480	-0,7224	-0,3094	-2,8721	1,0000	-0,0031	-0,0023	0,0003	-0,7211	-0,8925	-3,8721	0,9654	-0,2609	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516469.jpg,img_FrontCenter_Segmentation_1581449516480.jpg
1581449516533	-0,7224	-0,3012	-2,8721	1,0000	-0,0030	-0,0023	0,0003	-0,7211	-0,8925	-3,8721	0,9646	-0,2638	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516523.jpg,img_FrontCenter_Segmentation_1581449516533.jpg
1581449516585	-0,7224	-0,2851	-2,8721	1,0000	-0,0029	-0,0023	0,0003	-0,7211	-0,8925	-3,8721	0,9630	-0,2696	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516577.jpg,img_FrontCenter_Segmentation_1581449516585.jpg
1581449516636	-0,7224	-0,2672	-2,8721	1,0000	-0,0029	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9612	-0,2758	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516626.jpg,img_FrontCenter_Segmentation_1581449516636.jpg
1581449516688	-0,7224	-0,2450	-2,8721	1,0000	-0,0028	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9590	-0,2834	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516677.jpg,img_FrontCenter_Segmentation_1581449516688.jpg
1581449516741	-0,7224	-0,2201	-2,8721	1,0000	-0,0027	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9565	-0,2917	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516731.jpg,img_FrontCenter_Segmentation_1581449516741.jpg
1581449516794	-0,7224	-0,1896	-2,8721	1,0000	-0,0027	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9534	-0,3016	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516783.jpg,img_FrontCenter_Segmentation_1581449516794.jpg
1581449516847	-0,7224	-0,1570	-2,8721	1,0000	-0,0026	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9502	-0,3118	-0,0007	-0,0002	img_PilotCamera_Segmentation_1581449516837.jpg,img_FrontCenter_Segmentation_1581449516847.jpg
1581449516901	-0,7224	-0,1171	-2,8721	1,0000	0,0093	-0,0023	0,0002	-0,7210	-0,8925	-3,8721	0,9461	-0,3238	-0,0006	-0,0002	img_PilotCamera_Segmentation_1581449516889.jpg,img_FrontCenter_Segmentation_1581449516901.jpg
1581449516952	-0,7224	-0,0683	-2,8718	0,9988	0,0491	-0,0015	0,0003	-0,7215	-0,8925	-3,8718	0,9412	-0,3379	-0,0004	-0,0001	img_PilotCamera_Segmentation_1581449516944.jpg,img_FrontCenter_Segmentation_1581449516952.jpg
1581449517006	-0,7224	-0,0283	-2,8708	0,9967	0,0814	0,0011	0,0004	-0,7230	-0,8925	-3,8708	0,9372	-0,3489	0,0003	0,0001	img_PilotCamera_Segmentation_1581449516994.jpg,img_FrontCenter_Segmentation_1581449517006.jpg
1581449517059	-0,7224	0,0096	-2,8689	0,9938	0,1111	0,0051	0,0006	-0,7255	-0,8925	-3,8689	0,9334	-0,3588	0,0015	0,0006	img_PilotCamera_Segmentation_1581449517047.jpg,img_FrontCenter_Segmentation_1581449517059.jpg
1581449517113	-0,7224	0,0501	-2,8654	0,9902	0,1394	0,0106	0,0007	-0,7290	-0,8925	-3,8654	0,9294	-0,3690	0,0031	0,0012	img_PilotCamera_Segmentation_1581449517099.jpg,img_FrontCenter_Segmentation_1581449517113.jpg
1581449517166	-0,7224	0,0917	-2,8598	0,9878	0,1551	0,0160	0,0009	-0,7324	-0,8925	-3,8598	0,9254	-0,3790	0,0047	0,0019	img_PilotCamera_Segmentation_1581449517153.jpg,img_FrontCenter_Segmentation_1581449517166.jpg
1581449517219	-0,7223	0,1328	-2,8523	0,9903	0,1374	0,0210	0,0015	-0,7354	-0,8925	-3,8522	0,9214	-0,3884	0,0060	0,0025	img_PilotCamera_Segmentation_1581449517204.jpg,img_FrontCenter_Segmentation_1581449517219.jpg
1581449517272	-0,7223	0,1769	-2,8422	0,9933	0,1125	0,0259	0,0020	-0,7382	-0,8925	-3,8421	0,9173	-0,3981	0,0073	0,0032	img_PilotCamera_Segmentation_1581449517256.jpg,img_FrontCenter_Segmentation_1581449517272.jpg
1581449517317	-0,7222	0,2208	-2,8306	0,9951	0,0944	0,0300	0,0022	-0,7406	-0,8925	-3,8304	0,9133	-0,4073	0,0084	0,0037	img_PilotCamera_Segmentation_1581449517306.jpg,img_FrontCenter_Segmentation_1581449517317.jpg
1581449517376	-0,7221	0,2761	-2,8146	0,9965	0,0766	0,0345	0,0023	-0,7430	-0,8925	-3,8143	0,9083	-0,4182	0,0095	0,0044	img_PilotCamera_Segmentation_1581449517361.jpg,img_FrontCenter_Segmentation_1581449517376.jpg
1581449517430	-0,7219	0,3293	-2,7984	0,9973	0,0634	0,0381	0,0022	-0,7450	-0,8925	-3,7981	0,9036	-0,4281	0,0104	0,0049	img_PilotCamera_Segmentation_1581449517415.jpg,img_FrontCenter_Segmentation_1581449517430.jpg
1581449517483	-0,7218	0,3763	-2,7838	0,9977	0,0542	0,0408	0,0021	-0,7465	-0,8925	-3,7835	0,8997	-0,4364	0,0111	0,0054	img_PilotCamera_Segmentation_1581449517469.jpg,img_FrontCenter_Segmentation_1581449517483.jpg
1581449517539	-0,7217	0,4447	-2,7614	0,9981	0,0430	0,0444	0,0019	-0,7485	-0,8925	-3,7611	0,8940	-0,4478	0,0120	0,0060	img_PilotCamera_Segmentation_1581449517525.jpg,img_FrontCenter_Segmentation_1581449517539.jpg
1581449517594	-0,7216	0,4940	-2,7430	0,9983	0,0355	0,0471	0,0017	-0,7499	-0,8925	-3,7426	0,8901	-0,4555	0,0126	0,0065	img_PilotCamera_Segmentation_1581449517579.jpg,img_FrontCenter_Segmentation_1581449517594.jpg
1581449517646	-0,7214	0,5343	-2,7256	0,9983	0,0297	0,0493	0,0016	-0,7511	-0,8925	-3,7251	0,8870	-0,4615	0,0132	0,0068	img_PilotCamera_Segmentation_1581449517633.jpg,img_FrontCenter_Segmentation_1581449517646.jpg
1581449517697	-0,7213	0,5651	-2,7102	0,9984	0,0253	0,0511	0,0014	-0,7521	-0,8927	-3,7097	0,8847	-0,4660	0,0136	0,0072	img_PilotCamera_Segmentation_1581449517687.jpg,img_FrontCenter_Segmentation_1581449517697.jpg
1581449517748	-0,7212	0,5945	-2,6927	0,9984	0,0210	0,0530	0,0012	-0,7531	-0,8932	-3,6922	0,8825	-0,4701	0,0141	0,0075	img_PilotCamera_Segmentation_1581449517738.jpg,img_FrontCenter_Segmentation_1581449517748.jpg
1581449517806	-0,7211	0,6181	-2,6752	0,9984	0,0175	0,0547	0,0011	-0,7540	-0,8935	-3,6746	0,8807	-0,4734	0,0145	0,0078	img_PilotCamera_Segmentation_1581449517791.jpg,img_FrontCenter_Segmentation_1581449517806.jpg
1581449517855	-0,7209	0,6410	-2,6515	0,9983	0,0135	0,0567	0,0009	-0,7550	-0,8943	-3,6509	0,8790	-0,4765	0,0150	0,0081	img_PilotCamera_Segmentation_1581449517843.jpg,img_FrontCenter_Segmentation_1581449517855.jpg
1581449517907	-0,7208	0,6508	-2,6349	0,9983	0,0113	0,0579	0,0008	-0,7556	-0,8943	-3,6343	0,8783	-0,4778	0,0153	0,0083	img_PilotCamera_Segmentation_1581449517896.jpg,img_FrontCenter_Segmentation_1581449517907.jpg
1581449517963	-0,7207	0,6585	-2,6162	0,9983	0,0092	0,0573	0,0007	-0,7551	-0,8940	-3,6157	0,8778	-0,4787	0,0151	0,0082	img_PilotCamera_Segmentation_1581449517951.jpg,img_FrontCenter_Segmentation_1581449517963.jpg
1581449518019	-0,7206	0,6643	-2,5995	0,9985	0,0076	0,0544	0,0006	-0,7532	-0,8936	-3,5990	0,8774	-0,4794	0,0143	0,0078	img_PilotCamera_Segmentation_1581449518006.jpg,img_FrontCenter_Segmentation_1581449518019.jpg
1581449518069	-0,7205	0,6708	-2,5806	0,9987	0,0061	0,0497	0,0004	-0,7503	-0,8937	-3,5802	0,8770	-0,4803	0,0131	0,0072	img_PilotCamera_Segmentation_1581449518058.jpg,img_FrontCenter_Segmentation_1581449518069.jpg
1581449518118	-0,7204	0,6795	-2,5637	0,9989	0,0050	0,0459	0,0003	-0,7479	-0,8875	-3,5633	0,8768	-0,4806	0,0121	0,0066	img_PilotCamera_Segmentation_1581449518107.jpg,img_FrontCenter_Segmentation_1581449518118.jpg
1581449518173	-0,7202	0,6957	-2,5413	0,9991	0,0038	0,0413	0,0003	-0,7450	-0,8865	-3,5409	0,8758	-0,4825	0,0109	0,0060	img_PilotCamera_Segmentation_1581449518161.jpg,img_FrontCenter_Segmentation_1581449518173.jpg
1581449518223	-0,7201	0,7139	-2,5219	0,9993	0,0030	0,0378	0,0002	-0,7428	-0,8856	-3,5217	0,8746	-0,4847	0,0099	0,0055	img_PilotCamera_Segmentation_1581449518211.jpg,img_FrontCenter_Segmentation_1581449518223.jpg
1581449518271	-0,7200	0,7322	-2,5057	0,9994	0,0024	0,0352	0,0002	-0,7411	-0,8845	-3,5055	0,8735	-0,4868	0,0092	0,0051	img_PilotCamera_Segmentation_1581449518260.jpg,img_FrontCenter_Segmentation_1581449518271.jpg
1581449518325	-0,7199	0,7591	-2,4851	0,9995	0,0018	0,0321	0,0002	-0,7391	-0,8833	-3,4850	0,8718	-0,4899	0,0084	0,0047	img_PilotCamera_Segmentation_1581449518312.jpg,img_FrontCenter_Segmentation_1581449518325.jpg
1581449518381	-0,7197	0,7794	-2,4678	0,9996	0,0014	0,0298	0,0001	-0,7376	-0,8820	-3,4676	0,8705	-0,4921	0,0078	0,0044	img_PilotCamera_Segmentation_1581449518367.jpg,img_FrontCenter_Segmentation_1581449518381.jpg
1581449518432	-0,7196	0,7957	-2,4493	0,9996	0,0038	0,0275	0,0000	-0,7361	-0,8807	-3,4492	0,8695	-0,4938	0,0072	0,0041	img_PilotCamera_Segmentation_1581449518418.jpg,img_FrontCenter_Segmentation_1581449518432.jpg
1581449518482	-0,7195	0,8088	-2,4309	0,9991	0,0331	0,0254	-0,0007	-0,7348	-0,8794	-3,4307	0,8688	-0,4951	0,0066	0,0038	img_PilotCamera_Segmentation_1581449518470.jpg,img_FrontCenter_Segmentation_1581449518482.jpg
1581449518533	-0,7194	0,8166	-2,4134	0,9977	0,0640	0,0237	-0,0016	-0,7336	-0,8782	-3,4133	0,8684	-0,4959	0,0062	0,0035	img_PilotCamera_Segmentation_1581449518520.jpg,img_FrontCenter_Segmentation_1581449518533.jpg
1581449518585	-0,7193	0,8195	-2,3948	0,9952	0,0955	0,0219	-0,0024	-0,7325	-0,8771	-3,3947	0,8682	-0,4961	0,0057	0,0033	img_PilotCamera_Segmentation_1581449518571.jpg,img_FrontCenter_Segmentation_1581449518585.jpg
1581449518636	-0,7192	0,8171	-2,3771	0,9921	0,1239	0,0204	-0,0030	-0,7314	-0,8783	-3,3770	0,8683	-0,4959	0,0053	0,0030	img_PilotCamera_Segmentation_1581449518623.jpg,img_FrontCenter_Segmentation_1581449518636.jpg
1581449518687	-0,7190	0,8096	-2,3580	0,9895	0,1431	0,0189	-0,0035	-0,7304	-0,8945	-3,3579	0,8678	-0,4969	0,0049	0,0028	img_PilotCamera_Segmentation_1581449518674.jpg,img_FrontCenter_Segmentation_1581449518687.jpg
1581449518745	-0,7187	0,7960	-2,3316	0,9929	0,1176	0,0173	-0,0031	-0,7291	-0,8999	-3,3316	0,8683	-0,4960	0,0045	0,0026	img_PilotCamera_Segmentation_1581449518730.jpg,img_FrontCenter_Segmentation_1581449518745.jpg
1581449518799	-0,7185	0,7799	-2,3108	0,9950	0,0985	0,0162	-0,0027	-0,7282	-0,9017	-3,3107	0,8692	-0,4944	0,0042	0,0024	img_PilotCamera_Segmentation_1581449518785.jpg,img_FrontCenter_Segmentation_1581449518799.jpg
1581449518849	-0,7183	0,7583	-2,2898	0,9964	0,0829	0,0152	-0,0024	-0,7274	-0,9037	-3,2898	0,8705	-0,4922	0,0040	0,0022	img_PilotCamera_Segmentation_1581449518836.jpg,img_FrontCenter_Segmentation_1581449518849.jpg
1581449518906	-0,7181	0,7328	-2,2699	0,9974	0,0704	0,0143	-0,0021	-0,7267	-0,9053	-3,2699	0,8721	-0,4894	0,0037	0,0021	img_PilotCamera_Segmentation_1581449518892.jpg,img_FrontCenter_Segmentation_1581449518906.jpg
1581449518956	-0,7179	0,7024	-2,2500	0,9981	0,0597	0,0136	-0,0018	-0,7260	-0,9066	-3,2499	0,8740	-0,4859	0,0035	0,0020	img_PilotCamera_Segmentation_1581449518943.jpg,img_FrontCenter_Segmentation_1581449518956.jpg
1581449519005	-0,7176	0,6633	-2,2273	0,9987	0,0495	0,0118	-0,0016	-0,7247	-0,9077	-3,2273	0,8766	-0,4812	0,0031	0,0017	img_PilotCamera_Segmentation_1581449518992.jpg,img_FrontCenter_Segmentation_1581449519005.jpg
1581449519060	-0,7172	0,6137	-2,1988	0,9992	0,0389	0,0063	-0,0016	-0,7210	-0,9092	-3,1988	0,8800	-0,4749	0,0017	0,0009	img_PilotCamera_Segmentation_1581449519047.jpg,img_FrontCenter_Segmentation_1581449519060.jpg
1581449519112	-0,7169	0,5755	-2,1762	0,9995	0,0322	-0,0001	-0,0016	-0,7168	-0,9103	-3,1762	0,8827	-0,4699	0,0000	0,0000	img_PilotCamera_Segmentation_1581449519102.jpg,img_FrontCenter_Segmentation_1581449519112.jpg
1581449519167	-0,7166	0,5391	-2,1530	0,9996	0,0268	-0,0065	-0,0016	-0,7126	-0,9113	-3,1530	0,8853	-0,4650	-0,0018	-0,0009	img_PilotCamera_Segmentation_1581449519156.jpg,img_FrontCenter_Segmentation_1581449519167.jpg
1581449519222	-0,7163	0,5078	-2,1308	0,9997	0,0227	-0,0121	-0,0015	-0,7090	-0,9123	-3,1307	0,8876	-0,4606	-0,0032	-0,0017	img_PilotCamera_Segmentation_1581449519209.jpg,img_FrontCenter_Segmentation_1581449519222.jpg
1581449519278	-0,7158	0,4695	-2,0995	0,9997	0,0179	-0,0191	-0,0014	-0,7043	-0,9136	-3,0994	0,8905	-0,4550	-0,0051	-0,0026	img_PilotCamera_Segmentation_1581449519265.jpg,img_FrontCenter_Segmentation_1581449519278.jpg
1581449519329	-0,7153	0,4439	-2,0749	0,9996	0,0150	-0,0239	-0,0012	-0,7010	-0,9145	-3,0748	0,8924	-0,4512	-0,0064	-0,0032	img_PilotCamera_Segmentation_1581449519317.jpg,img_FrontCenter_Segmentation_1581449519329.jpg
1581449519384	-0,7149	0,4217	-2,0499	0,9995	0,0125	-0,0283	-0,0011	-0,6979	-0,9154	-3,0498	0,8941	-0,4478	-0,0076	-0,0038	img_PilotCamera_Segmentation_1581449519371.jpg,img_FrontCenter_Segmentation_1581449519384.jpg
1581449519438	-0,7145	0,4040	-2,0262	0,9994	0,0105	-0,0321	-0,0010	-0,6952	-0,9162	-3,0261	0,8954	-0,4451	-0,0086	-0,0043	img_PilotCamera_Segmentation_1581449519424.jpg,img_FrontCenter_Segmentation_1581449519438.jpg
1581449519488	-0,7140	0,3887	-2,0009	0,9993	0,0087	-0,0358	-0,0009	-0,6925	-0,9170	-3,0006	0,8966	-0,4427	-0,0096	-0,0048	img_PilotCamera_Segmentation_1581449519476.jpg,img_FrontCenter_Segmentation_1581449519488.jpg
1581449519545	-0,7134	0,3749	-1,9692	0,9992	0,0069	-0,0400	-0,0007	-0,6895	-0,9180	-2,9690	0,8977	-0,4405	-0,0108	-0,0053	img_PilotCamera_Segmentation_1581449519531.jpg,img_FrontCenter_Segmentation_1581449519545.jpg
1581449519596	-0,7129	0,3675	-1,9420	0,9991	0,0056	-0,0431	-0,0006	-0,6870	-0,9187	-2,9416	0,8982	-0,4394	-0,0116	-0,0057	img_PilotCamera_Segmentation_1581449519583.jpg,img_FrontCenter_Segmentation_1581449519596.jpg
1581449519648	-0,7124	0,3638	-1,9176	0,9989	0,0047	-0,0464	-0,0005	-0,6846	-0,9194	-2,9172	0,8984	-0,4389	-0,0125	-0,0061	img_PilotCamera_Segmentation_1581449519636.jpg,img_FrontCenter_Segmentation_1581449519648.jpg
1581449519703	-0,7120	0,3603	-1,8932	0,9987	0,0039	-0,0516	-0,0005	-0,6810	-0,9201	-2,8927	0,8987	-0,4384	-0,0139	-0,0068	img_PilotCamera_Segmentation_1581449519690.jpg,img_FrontCenter_Segmentation_1581449519703.jpg
1581449519751	-0,7115	0,3566	-1,8672	0,9983	0,0031	-0,0589	-0,0004	-0,6761	-0,9207	-2,8665	0,8989	-0,4378	-0,0159	-0,0077	img_PilotCamera_Segmentation_1581449519741.jpg,img_FrontCenter_Segmentation_1581449519751.jpg
1581449519806	-0,7110	0,3530	-1,8411	0,9977	0,0025	-0,0682	-0,0004	-0,6700	-0,9213	-2,8403	0,8991	-0,4373	-0,0184	-0,0090	img_PilotCamera_Segmentation_1581449519793.jpg,img_FrontCenter_Segmentation_1581449519806.jpg
1581449519862	-0,7103	0,3490	-1,8073	0,9966	0,0019	-0,0829	-0,0003	-0,6605	-0,9221	-2,8061	0,8992	-0,4367	-0,0224	-0,0109	img_PilotCamera_Segmentation_1581449519848.jpg,img_FrontCenter_Segmentation_1581449519862.jpg
1581449519911	-0,7098	0,3465	-1,7812	0,9954	0,0015	-0,0963	-0,0003	-0,6519	-0,9227	-2,7795	0,8993	-0,4364	-0,0260	-0,0126	img_PilotCamera_Segmentation_1581449519902.jpg,img_FrontCenter_Segmentation_1581449519911.jpg
1581449519963	-0,7092	0,3446	-1,7551	0,9938	0,0009	-0,1112	0,0019	-0,6424	-0,9232	-2,7528	0,8993	-0,4361	-0,0301	-0,0146	img_PilotCamera_Segmentation_1581449519949.jpg,img_FrontCenter_Segmentation_1581449519963.jpg
1581449520016	-0,7088	0,3432	-1,7289	0,9918	-0,0004	-0,1277	0,0105	-0,6320	-0,9237	-2,7260	0,8992	-0,4358	-0,0346	-0,0168	img_PilotCamera_Segmentation_1581449520005.jpg,img_FrontCenter_Segmentation_1581449520016.jpg
1581449520065	-0,7084	0,3424	-1,7043	0,9892	-0,0026	-0,1445	0,0247	-0,6215	-0,9242	-2,7005	0,8990	-0,4357	-0,0391	-0,0190	img_PilotCamera_Segmentation_1581449520054.jpg,img_FrontCenter_Segmentation_1581449520065.jpg
1581449520121	-0,7084	0,3424	-1,6782	0,9856	-0,0055	-0,1636	0,0434	-0,6099	-0,9247	-2,6734	0,8988	-0,4356	-0,0444	-0,0215	img_PilotCamera_Segmentation_1581449520107.jpg,img_FrontCenter_Segmentation_1581449520121.jpg
1581449520172	-0,7089	0,3435	-1,6539	0,9813	-0,0080	-0,1827	0,0595	-0,5988	-0,9252	-2,6478	0,8984	-0,4358	-0,0496	-0,0241	img_PilotCamera_Segmentation_1581449520159.jpg,img_FrontCenter_Segmentation_1581449520172.jpg
1581449520222	-0,7104	0,3461	-1,6283	0,9761	-0,0103	-0,2039	0,0740	-0,5873	-0,9256	-2,6207	0,8978	-0,4361	-0,0554	-0,0269	img_PilotCamera_Segmentation_1581449520209.jpg,img_FrontCenter_Segmentation_1581449520222.jpg
1581449520278	-0,7139	0,3520	-1,5957	0,9695	-0,0117	-0,2301	0,0837	-0,5750	-0,9262	-2,5860	0,8968	-0,4370	-0,0626	-0,0305	img_PilotCamera_Segmentation_1581449520266.jpg,img_FrontCenter_Segmentation_1581449520278.jpg
1581449520330	-0,7178	0,3569	-1,5711	0,9656	-0,0091	-0,2489	0,0749	-0,5675	-0,9266	-2,5597	0,8959	-0,4377	-0,0677	-0,0331	img_PilotCamera_Segmentation_1581449520319.jpg,img_FrontCenter_Segmentation_1581449520330.jpg
1581449520382	-0,7228	0,3628	-1,5468	0,9618	-0,0058	-0,2664	0,0625	-0,5618	-0,9270	-2,5337	0,8950	-0,4386	-0,0725	-0,0355	img_PilotCamera_Segmentation_1581449520370.jpg,img_FrontCenter_Segmentation_1581449520382.jpg
1581449520438	-0,7284	0,3696	-1,5243	0,9580	-0,0037	-0,2818	0,0531	-0,5579	-0,9273	-2,5096	0,8941	-0,4396	-0,0768	-0,0377	img_PilotCamera_Segmentation_1581449520425.jpg,img_FrontCenter_Segmentation_1581449520438.jpg
1581449520487	-0,7350	0,3783	-1,5006	0,9539	-0,0022	-0,2968	0,0447	-0,5553	-0,9277	-2,4843	0,8930	-0,4409	-0,0809	-0,0400	img_PilotCamera_Segmentation_1581449520475.jpg,img_FrontCenter_Segmentation_1581449520487.jpg
1581449520543	-0,7423	0,3887	-1,4772	0,9498	-0,0011	-0,3107	0,0376	-0,5540	-0,9280	-2,4593	0,8918	-0,4425	-0,0847	-0,0420	img_PilotCamera_Segmentation_1581449520529.jpg,img_FrontCenter_Segmentation_1581449520543.jpg
1581449520597	-0,7527	0,4048	-1,4472	0,9444	-0,0008	-0,3271	0,0318	-0,5542	-0,9285	-2,4273	0,8900	-0,4450	-0,0892	-0,0446	img_PilotCamera_Segmentation_1581449520585.jpg,img_FrontCenter_Segmentation_1581449520597.jpg
1581449520649	-0,7613	0,4189	-1,4243	0,9401	-0,0045	-0,3387	0,0384	-0,5555	-0,9288	-2,4029	0,8885	-0,4471	-0,0924	-0,0465	img_PilotCamera_Segmentation_1581449520637.jpg,img_FrontCenter_Segmentation_1581449520649.jpg
1581449520704	-0,7704	0,4345	-1,4016	0,9351	-0,0115	-0,3499	0,0543	-0,5574	-0,9291	-2,3787	0,8869	-0,4494	-0,0955	-0,0484	img_PilotCamera_Segmentation_1581449520690.jpg,img_FrontCenter_Segmentation_1581449520704.jpg
1581449520754	-0,7795	0,4499	-1,3806	0,9291	-0,0204	-0,3614	0,0754	-0,5591	-0,9294	-2,3560	0,8853	-0,4516	-0,0988	-0,0504	img_PilotCamera_Segmentation_1581449520741.jpg,img_FrontCenter_Segmentation_1581449520754.jpg
